id,title,magnitude,date-time,date-label,latitude,longitude,depth,region,url-usgs
us7000lvj9,"M 4.6 - 97 km S of La Libertad, El Salvador",4.6,2024-01-31 23:43:17.478,31-01-2024 23:43,12.6093,-89.2963,45.259,El Salvador,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lvj9
us7000lviq,"M 4.2 - 18 km NNW of Anamizu, Japan",4.2,2024-01-31 23:07:12.081,31-01-2024 23:07,37.3723,136.7898,8.748,Japan,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lviq
us7000lx42,M 4.4 - northern Mid-Atlantic Ridge,4.4,2024-01-31 22:51:52.816,31-01-2024 22:51,33.1068,-39.3618,10.0,northern Mid-Atlantic Ridge,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx42
us7000lx41,"M 4.5 - 51 km SSE of Finschhafen, Papua New Guinea",4.5,2024-01-31 22:28:56.022,31-01-2024 22:28,-6.9643,148.0811,28.439,Papua New Guinea,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx41
us7000lx43,M 4.3 - southeast of the Loyalty Islands,4.3,2024-01-31 22:04:24.814,31-01-2024 22:04,-23.1189,172.3308,10.0,southeast of the Loyalty Islands,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx43
us7000lvhs,"M 4.5 - 78 km WNW of El Aguilar, Argentina",4.5,2024-01-31 21:38:28.230,31-01-2024 21:38,-23.0039,-66.4105,228.041,Argentina,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lvhs
us7000lx45,"M 4.4 - 265 km NE of Fais, Micronesia",4.4,2024-01-31 21:14:42.224,31-01-2024 21:14,11.5127,142.188,10.0,Micronesia,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx45
us7000lvgg,"M 4.8 - 18 km WNW of Abra de Ilog, Philippines",4.8,2024-01-31 20:46:48.797,31-01-2024 20:46,13.5357,120.586,77.66,Philippines,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lvgg
us7000lvfw,M 4.4 - south of the Fiji Islands,4.4,2024-01-31 20:17:20.246,31-01-2024 20:17,-24.4551,179.9603,511.635,south of the Fiji Islands,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lvfw
us7000lvfc,"M 4.2 - 189 km NNE of Tual, Indonesia",4.2,2024-01-31 19:59:50.929,31-01-2024 19:59,-4.1206,133.5695,8.195,Indonesia,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lvfc
us7000lvfa,M 4.7 - Kermadec Islands region,4.7,2024-01-31 19:25:25.839,31-01-2024 19:25,-31.756,-178.3652,38.418,Kermadec Islands region,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lvfa
us7000lven,"M 4.1 - 124 km WNW of Aykol, China",4.1,2024-01-31 19:21:27.249,31-01-2024 19:21,41.3442,78.7416,10.0,China,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lven
us7000lx3y,"M 4.4 - 231 km SE of Sarangani, Philippines",4.4,2024-01-31 18:31:25.823,31-01-2024 18:31,3.685,126.6546,52.416,Philippines,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx3y
us7000lx3x,"M 4.2 - 97 km S of San Jose Village, Northern Mariana Islands",4.2,2024-01-31 17:05:58.022,31-01-2024 17:05,14.0989,145.7377,95.793,Northern Mariana Islands,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx3x
us7000lx3w,"M 4.4 - 153 km SSE of Pondaguitan, Philippines",4.4,2024-01-31 16:13:58.346,31-01-2024 16:13,5.1901,126.9205,97.033,Philippines,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx3w
us7000lx3t,M 4.4 - south of the Fiji Islands,4.4,2024-01-31 16:04:28.334,31-01-2024 16:04,-23.6474,-179.8215,510.172,south of the Fiji Islands,https://earthquake.usgs.gov/earthquakes/eventpage/us7000lx3t
